file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.144.236.94.236.pcap,388,0,0,0,0,0,0,0,0,
202006031400.pcap.144.38.131.193.pcap,2084,0,0,0,0,0,0,0,0,
202006031400.pcap.146.139.205.49.pcap,51,0,0,0,0,0,0,0,0,
202006031400.pcap.150.218.235.236.pcap,121,0,0,0,0,0,0,0,0,
202006031400.pcap.150.218.235.80.pcap,120,0,0,0,0,0,0,0,0,
202006031400.pcap.150.218.237.190.pcap,133,0,0,0,0,0,0,0,0,
202006031400.pcap.150.218.237.39.pcap,112,0,0,0,0,0,0,0,0,
202006031400.pcap.150.218.237.53.pcap,67,0,0,0,0,0,0,0,0,
202006031400.pcap.150.242.166.90.pcap,141,355,0,0,0,0,0,0,0,
202006031400.pcap.153.212.235.167.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.157.111.2.247.pcap,43,0,0,0,0,0,0,0,0,
202006031400.pcap.157.126.23.240.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.157.220.254.43.pcap,33,0,0,0,0,0,0,0,0,
202006031400.pcap.157.249.29.169.pcap,534,0,0,0,0,0,0,0,0,
202006031400.pcap.157.38.140.242.pcap,94,0,0,0,0,0,0,0,0,
202006031400.pcap.157.53.21.60.pcap,72,0,0,0,0,0,0,0,0,
202006031400.pcap.159.70.103.152.pcap,94,0,0,0,0,0,0,0,0,
202006031400.pcap.159.70.157.104.pcap,48,0,0,0,0,0,0,0,0,
202006031400.pcap.159.70.53.240.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.159.93.223.168.pcap,96,0,0,0,0,0,0,0,0,
202006031400.pcap.161.83.31.126.pcap,57,0,0,0,0,0,0,0,0,
202006031400.pcap.162.207.240.218.pcap,2084,0,0,0,0,0,0,0,0,
202006031400.pcap.162.207.242.40.pcap,272,0,0,0,0,0,0,0,0,
202006031400.pcap.162.207.246.189.pcap,256,0,0,0,0,0,0,0,0,
202006031400.pcap.162.207.246.48.pcap,256,0,0,0,0,0,0,0,0,
202006031400.pcap.164.123.136.177.pcap,219,0,0,0,0,0,0,0,0,
202006031400.pcap.164.132.238.126.pcap,68,0,0,0,0,0,0,0,0,
202006031400.pcap.164.52.121.235.pcap,97,1,0,0,0,0,0,0,0,
202006031400.pcap.165.224.76.208.pcap,61,0,0,0,0,0,0,0,0,
202006031400.pcap.167.92.76.189.pcap,110,0,0,0,0,0,0,0,0,
202006031400.pcap.171.250.84.129.pcap,45,0,0,0,0,0,0,0,0,
202006031400.pcap.173.59.29.31.pcap,26,0,0,0,0,0,0,0,0,
202006031400.pcap.178.63.213.204.pcap,83,0,0,0,0,0,0,0,0,
202006031400.pcap.178.63.222.238.pcap,139,0,0,0,0,0,0,0,0,
202006031400.pcap.180.137.60.146.pcap,41,0,0,0,0,0,0,0,0,
202006031400.pcap.180.150.59.16.pcap,131,0,0,0,0,0,0,0,0,
202006031400.pcap.182.239.172.222.pcap,340,0,0,0,0,0,0,0,0,
202006031400.pcap.183.143.77.118.pcap,36,9,0,0,0,0,0,0,0,
202006031400.pcap.184.71.48.77.pcap,93,0,0,0,0,0,0,0,0,
202006031400.pcap.185.113.35.222.pcap,48,0,0,0,0,0,0,0,0,
202006031400.pcap.185.113.35.223.pcap,49,0,0,0,0,0,0,0,0,
202006031400.pcap.185.16.118.125.pcap,318,0,0,0,0,0,0,0,0,
202006031400.pcap.188.88.44.129.pcap,140,0,0,0,0,0,0,0,0,
202006031400.pcap.188.88.77.172.pcap,137,0,0,0,0,0,0,0,0,
202006031400.pcap.192.156.119.124.pcap,122,0,0,0,0,0,0,0,0,
202006031400.pcap.193.157.255.201.pcap,2084,0,0,0,0,0,0,0,0,
202006031400.pcap.193.202.159.151.pcap,63,0,0,0,0,0,0,0,0,
202006031400.pcap.194.230.2.120.pcap,3390,0,0,0,0,0,0,0,0,
202006031400.pcap.194.230.2.125.pcap,2671,1,0,0,0,0,0,0,0,
202006031400.pcap.194.230.2.240.pcap,3317,0,0,0,0,0,0,0,0,
202006031400.pcap.194.230.2.243.pcap,3095,0,0,0,0,0,0,0,0,
202006031400.pcap.194.230.2.244.pcap,3349,0,0,0,0,0,0,0,0,
202006031400.pcap.194.230.2.246.pcap,3249,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.128.pcap,56,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.129.pcap,40,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.130.pcap,68,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.131.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.132.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.133.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.134.pcap,43,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.135.pcap,51,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.136.pcap,50,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.137.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.138.pcap,56,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.139.pcap,43,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.140.pcap,52,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.130.141.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.224.pcap,55,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.225.pcap,55,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.226.pcap,47,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.228.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.229.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.230.pcap,44,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.231.pcap,49,0,0,0,0,0,0,0,0,
202006031400.pcap.198.163.131.232.pcap,60,0,0,0,0,0,0,0,0,
