protocol,IP,ID,Time,F_Pck,B_Pck,F_Hash_IP,B_Hash_IP,F_Hash_port,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,175.158.154.221,822955710,147.982035,80,0,1,16,1,1,80,0,1
6,192.225.202.156,786851504,149.294302,80,0,1,16,16,1,80,0,1
6,190.251.140.230,841090343,150.310582,78,2,1,16,16,1,77,0,1
6,192.225.218.93,691495745,152.832096,79,1,1,16,16,1,79,0,1
6,192.225.207.28,646584275,152.870816,80,0,1,16,16,1,80,0,1
6,192.225.201.78,449919464,158.693648,80,0,1,16,15,1,80,0,1
6,192.225.205.90,861917260,158.860537,80,0,1,15,16,1,80,0,1
6,192.225.203.24,433843070,159.90529,80,0,1,16,15,1,80,0,1
6,192.225.202.156,786851504,160.214574,80,0,1,16,16,1,80,0,1
6,136.104.235.222,508334639,161.747117,79,1,1,16,16,1,79,0,1
6,45.155.246.52,808319281,162.668137,78,2,1,16,15,1,77,0,1
6,45.157.155.79,47353260,163.756788,80,0,1,16,1,1,80,0,1
6,192.225.220.140,803048311,163.772904,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,164.272473,79,1,1,16,16,1,79,0,1
6,192.225.207.28,646584275,164.343429,80,0,1,16,16,1,80,0,1
6,192.225.204.57,363216477,167.868627,80,0,1,16,16,1,80,0,1
6,134.161.47.196,955916633,168.11148,80,0,1,16,1,1,80,0,1
6,103.134.228.73,741095862,170.038624,80,0,1,16,15,1,80,0,1
6,167.89.255.165,120894395,170.072298,80,0,1,16,1,1,77,0,1
6,192.225.205.90,861917260,170.198562,80,0,1,16,16,1,80,0,1
6,192.225.202.156,786851504,171.206712,80,0,1,16,16,1,80,0,1
6,45.155.133.176,180031196,171.779288,80,0,1,16,16,1,78,0,1
6,104.22.84.103,533080696,173.055798,77,3,1,15,1,1,75,0,1
6,192.225.207.28,646584275,174.754188,80,0,1,16,16,1,80,0,1
6,14.98.182.248,613261125,176.499565,80,0,1,16,16,1,80,0,1
6,46.100.135.159,440874733,179.081978,77,3,1,16,1,1,77,0,1
6,192.225.218.93,691495745,179.356033,78,2,1,16,16,1,78,0,1
6,192.225.205.90,861917260,180.478635,80,0,1,16,15,1,80,0,1
6,192.225.202.156,786851504,180.625621,80,0,1,16,16,1,80,0,1
6,178.254.24.234,474725756,182.225475,79,1,1,16,1,1,78,0,1
6,192.225.207.28,646584275,186.660469,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,186.955878,80,0,1,16,16,1,80,0,1
6,110.142.235.230,176547894,187.449439,80,0,1,16,1,1,79,0,1
6,192.225.204.57,363216477,189.05182,79,1,1,16,16,1,79,0,1
6,192.225.205.90,861917260,190.429711,80,0,1,16,16,1,80,0,1
6,77.132.141.173,116831898,191.144684,80,0,1,16,1,1,80,0,1
6,192.225.202.156,786851504,192.276663,80,0,1,16,16,1,80,0,1
6,185.90.15.6,894986908,193.270396,80,0,1,16,16,1,80,0,1
6,45.252.16.195,135166219,194.696499,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,195.586116,80,0,1,16,1,1,80,0,1
6,45.155.246.52,808319281,195.899815,77,3,1,16,16,1,75,0,1
6,192.225.201.78,449919464,196.376516,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,197.654346,80,0,1,16,16,1,80,0,1
6,175.158.154.221,822955710,198.433087,80,0,1,16,1,1,79,0,1
6,114.230.7.171,1040634059,199.601643,80,0,1,16,1,1,80,0,1
6,192.225.218.93,691495745,201.133269,79,1,1,16,16,1,79,0,1
6,192.225.203.24,433843070,201.569735,80,0,1,16,16,1,80,0,1
6,192.225.205.90,861917260,202.895723,80,0,1,16,16,1,80,0,1
6,192.225.202.156,786851504,204.122329,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,205.673752,80,0,1,16,1,1,80,0,1
6,45.157.155.79,47353260,206.505224,80,0,1,16,1,1,80,0,1
6,192.225.207.28,646584275,209.22005,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,209.251841,78,2,1,16,16,1,78,0,1
6,101.122.167.234,834312522,212.130398,80,0,1,16,1,1,79,0,1
6,14.167.155.8,921768834,214.0564,80,0,1,16,1,1,80,0,1
6,134.161.198.161,738659867,214.487185,80,0,1,16,1,1,80,0,1
6,192.225.204.57,363216477,214.771551,80,0,1,16,16,1,80,0,1
6,192.225.205.90,861917260,214.951796,80,0,1,16,16,1,80,0,1
6,46.100.135.159,440874733,215.884628,77,3,1,15,1,1,76,0,1
6,192.225.220.140,803048311,216.277919,80,0,1,16,16,1,80,0,1
6,192.225.202.156,786851504,217.275838,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,219.581496,80,0,1,16,16,1,80,0,1
6,197.26.48.81,1002045873,221.805534,79,1,1,16,16,1,79,0,1
6,167.89.255.165,120894395,222.386942,80,0,1,16,1,1,79,0,1
6,192.225.218.93,691495745,222.553508,78,2,1,16,16,1,78,0,1
6,136.104.235.222,508334639,222.711735,79,1,1,15,16,1,79,0,1
6,86.145.183.206,78211192,223.033861,79,1,1,16,16,1,79,0,1
6,185.183.30.113,754698047,224.966416,79,1,1,16,16,1,78,0,1
6,192.225.202.156,786851504,228.296323,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,228.327585,77,3,1,16,15,1,77,0,1
6,192.225.205.90,861917260,228.898757,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,230.999382,80,0,1,16,16,1,80,0,1
6,103.179.161.224,409260883,233.639891,79,1,1,16,1,1,78,0,1
6,201.123.74.167,145008518,234.235512,80,0,1,16,16,1,80,0,1
6,37.189.188.18,923725621,234.919863,80,0,1,16,16,1,80,0,1
6,118.3.51.93,214099832,235.536105,80,0,1,16,16,1,80,0,1
6,14.167.155.8,921768834,235.801703,80,0,1,16,1,1,80,0,1
6,192.225.202.156,786851504,238.309729,80,0,1,16,16,1,80,0,1
6,192.225.204.57,363216477,238.414792,78,2,1,16,16,1,78,0,1
6,45.155.246.52,808319281,238.643284,79,1,1,16,16,1,76,0,1
6,198.125.67.229,330197236,239.119145,80,0,1,16,16,1,80,0,1
6,45.157.155.79,47353260,240.148482,79,1,1,16,1,1,78,0,1
6,223.247.254.18,563808697,240.219455,80,0,1,16,1,1,80,0,1
6,45.155.133.176,180031196,241.600355,80,0,1,16,16,1,80,0,1
6,192.225.201.78,449919464,241.610602,78,2,1,16,16,1,78,0,1
6,192.225.205.90,861917260,241.714064,80,0,1,16,16,1,80,0,1
6,192.225.218.93,691495745,241.822498,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,242.177269,80,0,1,16,16,1,80,0,1
6,193.81.224.24,75566609,242.843488,80,0,1,16,1,1,80,0,1
6,46.100.135.159,440874733,245.732511,78,2,1,16,1,1,74,0,1
6,77.132.141.173,116831898,246.049652,80,0,1,15,1,1,80,0,1
6,89.111.90.42,541498338,246.250685,79,1,1,16,16,1,77,0,1
6,192.225.203.24,433843070,248.146731,78,2,1,16,16,1,78,0,1
6,104.79.83.78,66433868,249.14049,79,1,1,16,16,1,79,0,1
6,192.225.202.156,786851504,250.866812,80,0,1,15,16,1,80,0,1
6,175.158.154.221,822955710,252.137707,80,0,1,16,1,1,80,0,1
6,192.225.207.28,646584275,252.202074,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,254.56115,79,1,1,16,15,1,79,0,1
6,185.90.15.6,894986908,256.386085,80,0,1,16,16,1,80,0,1
6,192.225.204.57,363216477,257.180993,79,1,1,16,16,1,79,0,1
6,192.225.205.90,861917260,257.666983,80,0,1,16,15,1,80,0,1
6,51.33.103.18,356032643,260.09106,79,1,1,16,1,1,78,0,1
6,192.225.218.93,691495745,261.125101,80,0,1,16,16,1,80,0,1
6,223.247.254.23,1008878424,261.245419,80,0,1,16,1,1,80,0,1
6,154.236.95.198,729054196,263.544769,79,1,1,16,16,1,79,0,1
6,192.225.207.28,646584275,264.60994,80,0,1,16,16,1,80,0,1
6,14.98.182.248,613261125,266.727281,80,0,1,16,16,1,80,0,1
6,192.225.220.140,803048311,267.157637,79,1,1,16,16,1,79,0,1
6,192.225.205.90,861917260,267.288809,80,0,1,16,16,1,80,0,1
6,46.100.135.159,440874733,268.708217,76,4,1,16,1,1,73,0,1
6,136.104.235.222,508334639,269.309308,80,0,1,16,16,1,80,0,1
6,103.168.16.246,696793617,269.921679,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,272.784326,80,0,1,16,16,1,80,0,1
6,192.225.200.41,278248238,274.632929,78,2,1,16,16,1,78,0,1
6,199.60.14.9,223649941,275.057331,80,0,1,16,16,1,79,0,1
6,134.161.193.6,277620509,276.537944,80,0,1,16,1,1,80,0,1
6,192.225.205.90,861917260,277.946278,80,0,1,16,16,1,80,0,1
6,134.161.47.196,955916633,278.073944,79,1,1,16,1,1,79,0,1
6,45.157.155.79,47353260,278.997442,80,0,1,16,1,1,80,0,1
6,167.89.255.165,120894395,279.414308,78,2,1,16,1,1,78,0,1
6,192.225.204.57,363216477,279.782034,79,1,1,16,16,1,79,0,1
6,45.155.246.52,808319281,280.03836,78,2,1,16,16,1,76,0,1
6,192.225.218.93,691495745,280.894952,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,282.960317,80,0,1,16,16,1,80,0,1
6,104.67.21.129,1000758655,283.233421,78,2,1,15,3,1,74,0,1
6,192.225.203.24,433843070,283.931229,80,0,1,16,16,1,80,0,1
6,178.73.216.89,807157793,285.343667,80,0,1,16,16,1,79,0,1
6,46.100.135.159,440874733,285.566938,78,2,1,16,1,1,72,0,1
6,192.225.201.78,449919464,288.481014,80,0,1,16,16,1,80,0,1
6,104.67.21.129,1000758655,288.481433,77,3,1,16,1,1,73,0,1
6,192.225.205.90,861917260,288.949223,80,0,1,15,16,1,80,0,1
6,110.142.235.230,176547894,289.454219,77,3,1,16,1,1,71,0,1
6,175.158.154.221,822955710,293.096133,76,4,1,16,1,1,76,0,1
6,185.183.30.113,754698047,293.204757,79,1,1,16,16,1,79,0,1
6,216.203.115.61,1071852081,293.377197,78,2,1,16,16,1,78,0,1
6,192.225.200.41,278248238,293.780168,80,0,1,16,16,1,80,0,1
6,192.225.207.28,646584275,294.198192,80,0,1,16,16,1,80,0,1
6,104.67.21.129,1000758655,296.243128,77,3,1,16,3,1,72,0,1
6,14.167.155.8,921768834,297.798051,80,0,1,16,1,1,80,0,1
6,192.225.205.90,861917260,299.687143,80,0,1,16,16,1,80,0,1
6,192.225.204.57,363216477,300.140737,80,0,1,16,16,1,80,0,1
6,192.225.218.93,691495745,303.094249,77,3,1,16,16,1,77,0,1
6,192.225.207.28,646584275,304.404807,80,0,1,16,16,1,80,0,1
6,192.225.220.140,803048311,306.634501,80,0,1,16,16,1,80,0,1
