file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.Mixed_rseed-2222.pcap.118.205.62.17.pcap,97,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.118.206.232.127.pcap,0,5,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.119.108.3.42.pcap,29,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.119.214.243.72.pcap,0,6,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.120.101.158.70.pcap,56,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.121.137.253.103.pcap,22,1,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.121.142.255.39.pcap,42,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.121.175.46.64.pcap,22,6,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.121.240.203.230.pcap,0,22,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.122.24.198.110.pcap,41,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.122.43.237.79.pcap,81,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.122.43.237.90.pcap,683,3,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.122.57.98.31.pcap,42,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.122.85.11.142.pcap,160,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.132.196.79.pcap,129,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.132.200.85.pcap,125,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.132.202.139.pcap,114,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.132.202.92.pcap,125,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.132.203.1.pcap,118,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.132.203.234.pcap,133,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.132.203.85.pcap,121,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.147.143.221.pcap,115,1,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.226.183.241.pcap,197,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.43.176.59.pcap,32,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.84.160.110.pcap,13,19,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.124.97.178.137.pcap,52,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.125.203.27.63.pcap,98,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.125.30.88.197.pcap,46,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.126.54.57.203.pcap,27,10,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.128.198.174.143.pcap,59,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.133.101.140.143.pcap,0,6,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.134.46.160.186.pcap,159,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.134.46.62.114.pcap,215,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.138.213.169.82.pcap,52,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.138.213.219.67.pcap,55,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.138.213.252.200.pcap,58,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.139.62.170.74.pcap,37,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.139.62.239.134.pcap,131,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.139.62.246.17.pcap,161,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.14.105.118.145.pcap,1,8,0,0,0,0,0,0,0,
