,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
0,202006031400.pcap.Mixed_rseed-2222.pcap.107.186.250.165.pcap,325,0,0,0,0,0,0,0,0
1,202006031400.pcap.Mixed_rseed-2222.pcap.111.11.151.87.pcap,356,0,0,0,0,0,0,0,0
2,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.101.pcap,29553,4,0,0,0,0,0,0,0
3,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.106.pcap,23346,0,0,0,0,0,0,0,0
4,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.118.pcap,25323,0,0,0,0,0,0,0,0
5,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.125.pcap,25333,0,0,0,0,0,0,0,0
6,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.41.pcap,23255,0,0,0,0,0,0,0,0
7,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.54.pcap,25546,0,0,0,0,0,0,0,0
8,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.57.pcap,28754,0,0,0,0,0,0,0,0
9,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.73.pcap,22687,0,0,0,0,0,0,0,0
10,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.85.pcap,24692,0,0,0,0,0,0,0,0
11,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.12.89.pcap,25477,0,0,0,0,0,0,0,0
12,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.182.pcap,32829,0,0,0,0,0,0,0,0
13,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.197.pcap,25749,0,0,0,0,0,0,0,0
14,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.205.pcap,24839,0,0,0,0,0,0,0,0
15,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.213.pcap,23705,0,0,0,0,0,0,0,0
16,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.222.pcap,27520,0,0,0,0,0,0,0,0
17,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.225.pcap,18756,11,0,0,0,0,0,0,0
18,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.245.pcap,26400,0,0,0,0,0,0,0,0
19,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.4.254.pcap,27376,0,0,0,0,0,0,0,0
20,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.10.pcap,19063,0,0,0,0,0,0,0,0
21,202006031400.pcap.Mixed_rseed-2222.pcap.114.124.5.5.pcap,24742,0,0,0,0,0,0,0,0
22,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.73.253.pcap,1975,0,0,0,0,0,0,0,0
23,202006031400.pcap.Mixed_rseed-2222.pcap.118.120.73.254.pcap,631,0,0,0,0,0,0,0,0
24,202006031400.pcap.Mixed_rseed-2222.pcap.121.171.28.165.pcap,1115,3,0,0,0,0,0,0,0
25,202006031400.pcap.Mixed_rseed-2222.pcap.125.112.98.132.pcap,1626,0,0,0,0,0,0,0,0
26,202006031400.pcap.Mixed_rseed-2222.pcap.128.111.79.129.pcap,356,0,0,0,0,0,0,0,0
27,202006031400.pcap.Mixed_rseed-2222.pcap.128.228.18.139.pcap,662,0,0,0,0,0,0,0,0
29,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.28.pcap,1858,0,0,0,0,0,0,0,0
30,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.30.pcap,2429,0,0,0,0,0,0,0,0
31,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.126.46.pcap,1121,0,0,0,0,0,0,0,0
32,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.17.195.pcap,42,453,3217,0,0,0,0,0,0
33,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.17.197.pcap,39,420,3233,0,0,0,0,0,0
34,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.201.199.pcap,899,0,0,0,0,0,0,0,0
35,202006031400.pcap.Mixed_rseed-2222.pcap.131.12.201.9.pcap,3271,33,0,0,0,0,0,0,0
36,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.240.15.pcap,2249,3,0,0,0,0,0,0,0
37,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.240.28.pcap,2167,4,0,0,0,0,0,0,0
38,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.240.29.pcap,768,2,0,0,0,0,0,0,0
39,202006031400.pcap.Mixed_rseed-2222.pcap.133.228.240.30.pcap,963,0,0,0,0,0,0,0,0
41,202006031400.pcap.Mixed_rseed-2222.pcap.144.38.131.193.pcap,2084,0,0,0,0,0,0,0,0
42,202006031400.pcap.Mixed_rseed-2222.pcap.157.249.29.169.pcap,534,0,0,0,0,0,0,0,0
44,202006031400.pcap.Mixed_rseed-2222.pcap.162.207.240.218.pcap,2084,0,0,0,0,0,0,0,0
45,202006031400.pcap.Mixed_rseed-2222.pcap.172.30.0.63.pcap,2,105,0,0,0,0,0,0,0
46,202006031400.pcap.Mixed_rseed-2222.pcap.182.239.172.222.pcap,340,0,0,0,0,0,0,0,0
47,202006031400.pcap.Mixed_rseed-2222.pcap.185.16.118.125.pcap,318,0,0,0,0,0,0,0,0
48,202006031400.pcap.Mixed_rseed-2222.pcap.193.157.255.201.pcap,2084,0,0,0,0,0,0,0,0
49,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.120.pcap,3390,0,0,0,0,0,0,0,0
50,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.125.pcap,2671,1,0,0,0,0,0,0,0
51,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.240.pcap,3317,0,0,0,0,0,0,0,0
52,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.243.pcap,3095,0,0,0,0,0,0,0,0
53,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.244.pcap,3349,0,0,0,0,0,0,0,0
54,202006031400.pcap.Mixed_rseed-2222.pcap.194.230.2.246.pcap,3249,0,0,0,0,0,0,0,0
55,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1001_D475_47C4_D8A1_E21_58D5_A86C.pcap,377,108,0,0,0,0,0,0,0
56,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1ED5_15_E700_780_35B9_A3FE_9CC.pcap,62732,5,0,0,0,0,0,0,0
58,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF1_D6FC_F17_EF80_C23F_3305_81D6.pcap,1383,0,0,0,0,0,0,0,0
59,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_1AE5_F84_839_5CE0_F88.pcap,8720,1,0,0,0,0,0,0,0
60,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_1AE5_F84_839_5CE0_F89.pcap,8646,1,0,0,0,0,0,0,0
61,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_5C8A_7E0_2A76_5BB5_D431.pcap,45,30,1,0,0,0,0,0,0
64,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_5E63_E214_10F9_4E41_77C.pcap,23,13,2,0,0,0,0,0,0
66,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_667C_EC56_F3D7_E260_ECA9.pcap,40,21,3,0,0,0,0,0,0
67,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_7123_E78F_6F3E_D27A_E005.pcap,47,38,6,0,0,0,0,0,0
68,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_715F_173F_8713_4A7_D498.pcap,36,23,3,0,0,0,0,0,0
70,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_7733_2CDB_A22E_1A8E_2604.pcap,33,28,1,0,0,0,0,0,0
71,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_81F8_7F8_7B8_A4E1_879B.pcap,877,0,0,0,0,0,0,0,0
72,202006031400.pcap.Mixed_rseed-2222.pcap.2001_1EF2_FF6D_E5E8_F87_840_FC20_7F33.pcap,727,0,0,0,0,0,0,0,0
73,202006031400.pcap.Mixed_rseed-2222.pcap.210.155.153.139.pcap,344,0,0,0,0,0,0,0,0
74,202006031400.pcap.Mixed_rseed-2222.pcap.210.166.198.124.pcap,1492,0,0,0,0,0,0,0,0
77,202006031400.pcap.Mixed_rseed-2222.pcap.211.141.147.61.pcap,1350,0,0,0,0,0,0,0,0
78,202006031400.pcap.Mixed_rseed-2222.pcap.222.66.62.159.pcap,504,0,0,0,0,0,0,0,0
79,202006031400.pcap.Mixed_rseed-2222.pcap.2405_CFF8_3FF_6E6_F787_DBF_7820_1F4.pcap,1513,0,0,0,0,0,0,0,0
80,202006031400.pcap.Mixed_rseed-2222.pcap.34.144.244.31.pcap,672,0,0,0,0,0,0,0,0
81,202006031400.pcap.Mixed_rseed-2222.pcap.34.161.43.156.pcap,737,2,0,0,0,0,0,0,0
82,202006031400.pcap.Mixed_rseed-2222.pcap.34.176.242.226.pcap,2501,0,0,0,0,0,0,0,0
83,202006031400.pcap.Mixed_rseed-2222.pcap.34.176.45.239.pcap,2745,0,0,0,0,0,0,0,0
84,202006031400.pcap.Mixed_rseed-2222.pcap.34.187.221.140.pcap,1929,0,0,0,0,0,0,0,0
85,202006031400.pcap.Mixed_rseed-2222.pcap.34.189.117.79.pcap,22918,50,0,0,0,0,0,0,0
86,202006031400.pcap.Mixed_rseed-2222.pcap.35.63.115.64.pcap,508,3,0,0,0,0,0,0,0
87,202006031400.pcap.Mixed_rseed-2222.pcap.35.68.196.144.pcap,3029,0,0,0,0,0,0,0,0
88,202006031400.pcap.Mixed_rseed-2222.pcap.43.53.95.71.pcap,609,0,0,0,0,0,0,0,0
89,202006031400.pcap.Mixed_rseed-2222.pcap.51.94.28.192.pcap,374,0,0,0,0,0,0,0,0
90,202006031400.pcap.Mixed_rseed-2222.pcap.58.68.28.113.pcap,325,0,0,0,0,0,0,0,0
91,202006031400.pcap.Mixed_rseed-2222.pcap.59.64.3.217.pcap,2048,0,0,0,0,0,0,0,0
92,202006031400.pcap.Mixed_rseed-2222.pcap.77.200.172.88.pcap,577,0,0,0,0,0,0,0,0
93,202006031400.pcap.Mixed_rseed-2222.pcap.83.174.8.56.pcap,1508,0,0,0,0,0,0,0,0
