protocol,IP,ID,Time,F_Pck,B_Pck,B_Hash_IP,B_Hash_port,F_TCP_S,B_TCP_S,Label22
6,5.104.164.215,546350386,3.443863,0,80,11,13,0,0,0
6,13.116.170.28,143218946,3.492421,0,80,1,1,0,0,0
6,163.169.103.30,237997597,3.503324,80,0,1,1,0,0,0
6,203.178.135.82,659126397,3.509675,40,40,14,13,0,0,0
6,2001:3E04:2BD:20D1:CC80:F65E:3CED:E573,548614336,3.518276,48,32,1,2,0,0,0
6,13.116.170.28,143218946,3.647907,0,80,1,3,0,0,0
6,163.169.103.30,237997597,3.657842,80,0,1,1,0,0,0
6,203.178.132.76,385599130,3.709049,28,52,6,7,0,0,0
6,165.124.3.187,186193821,30.393568,79,1,16,1,78,0,1
6,203.178.135.82,659126397,3.790346,40,40,15,13,0,0,0
6,13.116.170.28,143218946,3.809158,0,80,1,2,0,0,0
6,163.169.103.30,237997597,3.82232,80,0,1,1,0,0,0
6,163.169.98.252,487070549,3.829904,34,46,1,1,0,0,0
6,188.190.145.228,640138995,3.830402,46,34,1,1,0,0,0
6,13.116.170.28,143218946,3.98772,0,80,1,3,0,0,0
6,203.178.135.82,659126397,3.988661,48,32,15,15,0,0,0
6,163.169.103.30,237997597,4.011989,80,0,1,1,0,0,0
6,5.104.164.215,546350386,4.024558,0,80,13,12,0,0,0
6,13.116.170.28,143218946,4.154644,0,80,1,2,0,0,0
6,163.169.103.30,237997597,4.164128,80,0,1,1,0,0,0
6,138.68.174.144,284993024,4.209624,80,0,1,1,0,0,0
6,203.178.135.82,659126397,4.260039,38,42,14,15,0,0,0
6,13.116.170.28,143218946,4.325956,0,80,1,3,0,0,0
6,163.169.103.30,237997597,4.337063,80,0,1,1,0,0,0
6,203.178.132.76,385599130,4.348122,51,29,4,4,0,1,0
6,218.30.48.246,96637073,4.406418,21,59,1,1,0,0,0
6,13.116.170.28,143218946,4.505618,0,80,1,3,0,0,0
6,163.169.103.30,237997597,4.516034,80,0,1,1,0,0,0
