bitC0,bitC1,bitC2,bitC3,bitC4,bitC5,bitC6,bitC7,
1,2,3,4,9,10,12,23,
1,2,3,6,7,10,14,26,
1,2,3,4,9,10,12,15,
1,2,3,4,6,7,21,31,
1,2,4,5,6,13,16,28,
1,3,4,5,9,13,17,36,
1,2,3,4,7,8,9,17,
1,2,3,7,8,17,18,25,
1,2,3,4,6,7,8,15,
1,2,6,7,8,9,14,16,
1,2,3,4,5,8,10,17,
1,2,3,4,5,6,8,22,
1,2,3,4,7,9,13,31,
1,3,4,9,10,11,16,19,
1,2,3,4,5,9,13,14,
1,2,3,4,6,10,11,13,
1,2,3,4,6,9,12,24,
1,2,6,7,8,9,22,26,
1,2,3,4,6,10,25,43,
1,2,4,5,7,8,14,16,
1,2,3,4,6,7,8,19,
1,2,3,4,6,7,9,13,
1,2,3,5,6,9,14,34,
1,2,3,4,5,6,7,8,
1,2,3,4,6,7,8,24,
1,2,3,5,7,9,12,16,
1,2,3,7,10,12,15,16,
1,2,3,4,5,6,11,27,
1,2,3,5,7,8,9,24,
1,2,3,4,5,6,21,22,
1,2,3,6,8,12,15,27,
1,3,4,5,7,10,14,15,
1,2,3,4,8,11,14,22,
1,2,3,4,6,7,9,13,
1,2,4,5,8,11,17,31,
1,2,3,4,5,7,10,16,
1,2,3,5,6,7,14,16,
1,2,3,4,5,12,17,44,
1,2,4,5,6,18,20,25,
1,2,3,5,8,10,15,20,
1,2,3,4,5,7,13,32,
1,2,3,4,5,7,14,27,
1,2,3,4,5,10,11,12,
1,2,3,4,5,9,16,54,
1,2,3,4,6,12,17,43,
1,2,3,4,6,11,21,31,
1,3,4,5,6,7,11,12,
1,2,3,6,13,14,21,25,
1,3,4,6,7,11,16,22,
1,2,3,4,5,8,9,10,
1,2,3,4,5,8,17,25,
1,2,4,5,6,7,9,15,
1,2,3,8,12,13,16,25,
1,3,4,5,6,7,9,13,
1,3,4,5,10,12,14,39,
1,2,4,6,9,10,11,19,
1,2,3,4,5,6,9,39,
1,2,3,4,9,10,13,17,
1,2,3,4,5,7,15,16,
