bitC0,bitC1,bitC2,bitC3,bitC4,bitC5,bitC6,bitC7,
1,3,4,9,10,13,22,34,
1,3,4,7,8,10,16,23,
1,2,5,7,12,13,14,62,
1,2,3,7,8,11,18,22,
1,2,3,5,6,10,17,21,
1,2,3,4,5,6,13,20,
1,2,3,4,7,8,9,13,
1,3,4,5,6,9,11,20,
1,2,3,7,8,9,11,22,
1,3,4,6,10,11,13,23,
1,2,5,7,9,12,13,21,
1,2,3,4,5,6,7,30,
1,2,4,6,9,14,16,44,
1,2,3,4,6,9,13,16,
1,2,4,5,8,9,12,13,
1,2,4,5,10,12,14,18,
1,2,4,5,7,13,21,23,
1,3,5,6,10,12,16,38,
1,2,4,6,8,9,12,13,
1,2,4,5,7,13,14,16,
1,2,3,5,6,9,10,14,
1,2,5,6,8,10,16,24,
1,2,3,7,8,10,13,17,
1,2,5,6,7,8,10,13,
1,2,3,5,9,10,11,24,
1,2,3,5,7,9,10,12,
1,3,4,5,7,11,15,17,
1,2,5,6,7,8,14,15,
1,3,4,5,11,16,19,20,
1,2,4,7,10,13,15,32,
1,2,3,6,7,8,9,11,
1,2,3,5,7,8,13,23,
1,2,3,4,8,10,14,38,
1,2,3,4,6,12,17,24,
1,2,3,5,6,8,11,16,
1,2,3,4,5,8,11,17,
1,2,4,6,8,12,13,15,
1,3,4,5,8,10,14,24,
1,2,3,4,5,7,10,19,
1,2,3,4,8,9,14,17,
1,2,3,4,6,7,8,10,
1,2,3,5,6,11,12,23,
1,2,3,5,6,8,11,15,
1,2,3,4,5,6,7,8,
1,2,3,4,10,11,13,15,
1,3,5,6,8,9,10,18,
1,2,3,4,7,10,17,20,
1,2,3,5,6,8,13,31,
1,3,4,5,8,9,12,21,
1,2,4,5,6,7,9,32,
1,2,3,6,7,11,12,21,
1,2,3,4,8,10,19,27,
1,2,3,6,8,9,11,16,
1,2,4,5,6,9,15,22,
1,2,5,6,7,13,19,27,
1,3,4,5,6,7,8,10,
1,2,3,5,7,8,20,33,
1,2,3,5,6,8,9,30,
1,2,3,5,6,9,14,38,
1,2,3,5,7,8,9,16,
1,2,3,7,10,18,22,25,
1,2,3,4,6,21,22,26,
1,2,4,5,6,9,21,25,
1,2,3,4,5,6,10,27,
1,2,3,4,6,8,11,19,
1,2,3,4,5,8,11,12,
1,2,3,5,10,11,15,16,
1,2,3,4,7,8,9,15,
1,2,3,4,6,9,10,15,
1,2,3,6,8,11,12,14,
1,2,3,5,8,11,12,13,
1,3,4,5,7,10,11,17,
1,3,4,7,9,10,13,20,
1,2,3,4,5,7,11,21,
1,2,3,4,6,16,18,27,
1,2,3,4,6,9,10,22,
1,2,4,6,8,10,14,24,
1,3,5,6,7,11,12,13,
1,2,3,5,9,11,16,27,
1,2,5,6,7,8,10,11,
1,2,3,4,6,7,10,33,
1,2,3,4,5,6,7,14,
1,3,4,5,6,7,28,43,
1,2,3,6,8,11,16,21,
1,2,3,4,6,9,10,15,
1,2,4,5,8,9,10,25,
1,2,3,5,8,9,18,30,
1,3,4,5,11,12,13,20,
1,2,3,4,5,8,9,16,
1,2,5,10,11,13,14,17,
1,2,3,4,5,6,8,9,
1,2,3,4,5,10,15,19,
1,4,5,6,7,9,10,33,
1,2,3,5,7,9,15,32,
1,3,4,6,7,8,13,15,
1,2,3,4,7,8,14,20,
1,2,3,4,5,8,11,32,
1,3,4,6,8,9,21,33,
1,2,4,5,6,9,18,25,
1,2,4,5,6,7,11,19,
1,2,3,4,5,10,13,20,
1,2,3,4,5,7,9,13,
1,2,3,4,5,7,8,16,
1,2,3,4,5,8,15,29,
1,2,3,4,7,8,10,20,
1,2,3,4,9,12,16,17,
1,2,3,4,5,8,9,17,
1,3,4,5,7,11,12,29,
1,2,3,4,5,6,10,20,
1,2,4,6,10,15,20,25,
1,2,3,4,7,9,10,13,
1,2,3,4,6,7,23,33,
1,2,3,8,9,12,13,14,
1,2,3,4,8,11,14,15,
1,2,5,6,7,10,16,17,
1,2,5,7,8,11,17,20,
1,2,3,6,9,11,21,32,
1,2,3,5,6,7,8,14,
1,2,3,4,6,9,22,27,
1,2,3,4,6,7,10,15,
1,2,3,5,6,9,13,34,
1,3,4,5,6,12,18,20,
1,2,3,8,11,19,20,37,
1,2,3,4,5,7,12,19,
1,3,4,9,10,12,21,30,
1,2,4,5,8,9,11,14,
1,3,4,5,6,14,16,19,
1,2,3,4,7,8,9,29,
1,2,3,4,8,12,16,27,
1,2,3,7,10,11,24,36,
1,2,5,6,9,10,12,19,
1,2,4,8,10,13,15,19,
1,2,4,6,7,10,19,21,
1,3,4,5,6,7,9,14,
1,2,4,5,6,11,13,17,
1,2,4,7,8,9,15,16,
1,2,3,4,5,7,16,21,
1,2,3,6,16,17,18,19,
1,2,3,5,6,9,12,18,
1,2,3,4,6,9,15,19,
1,2,3,4,7,8,9,13,
1,2,3,6,7,13,16,19,
1,2,3,4,5,6,7,9,
1,2,4,5,7,9,15,16,
1,2,3,4,6,9,12,24,
1,2,3,5,7,8,10,13,
1,3,4,6,7,8,13,16,
1,2,3,4,5,13,18,45,
1,3,4,5,15,16,17,20,
1,2,3,5,6,7,8,19,
1,2,3,5,8,11,17,22,
1,2,3,4,11,13,17,20,
1,2,5,7,8,10,12,25,
1,4,5,7,9,11,12,24,
1,2,3,7,9,10,16,21,
1,2,3,4,5,6,9,42,
1,2,3,5,6,11,16,17,
1,2,4,6,7,9,21,24,
1,2,3,4,5,6,16,24,
1,2,3,4,5,7,8,12,
1,3,5,6,7,8,11,18,
1,2,3,5,6,7,8,13,
1,2,5,6,8,10,14,15,
1,2,3,5,6,9,17,18,
1,2,4,5,6,8,9,10,
1,2,3,4,5,11,13,16,
1,2,3,4,5,7,9,14,
1,3,5,8,9,11,17,19,
1,2,3,4,5,6,7,9,
1,2,3,4,5,11,12,20,
1,2,3,5,7,10,12,17,
1,2,3,4,7,10,11,18,
1,2,3,4,5,6,7,27,
1,2,4,6,7,8,12,20,
1,2,3,4,5,6,7,9,
1,2,3,4,5,8,9,14,
1,2,3,7,9,10,11,22,
1,2,3,5,6,9,13,18,
1,2,3,5,6,10,17,25,
1,2,3,4,5,6,8,11,
1,2,3,4,6,11,17,32,
1,3,4,5,6,7,14,17,
1,2,3,5,6,9,11,18,
1,2,3,4,5,11,12,15,
1,2,3,5,8,9,12,15,
1,2,3,5,6,7,9,11,
1,2,3,4,5,6,13,20,
1,2,3,5,6,8,9,11,
1,2,3,4,6,7,16,17,
1,2,4,5,8,12,41,50,
1,2,3,4,5,6,7,41,
1,2,3,4,5,6,11,35,
1,2,3,4,5,7,8,62,
1,2,4,5,7,11,15,20,
1,2,4,5,8,12,15,32,
1,2,3,4,5,10,15,16,
1,2,3,4,5,6,7,17,
1,2,3,5,7,12,14,16,
1,2,3,5,7,9,14,16,
1,2,3,4,5,18,19,20,
1,2,3,5,7,8,9,12,
1,2,3,5,7,9,10,25,
1,2,3,4,6,8,13,17,
1,2,3,5,7,9,12,22,
1,2,4,7,8,10,14,15,
1,2,3,4,7,8,12,24,
1,2,3,5,6,14,16,20,
1,2,3,5,7,8,9,11,
1,2,4,6,8,10,12,18,
1,2,4,5,6,9,11,23,
1,2,3,5,6,11,12,18,
1,2,3,4,5,8,18,28,
1,2,3,5,6,8,16,17,
1,2,3,4,5,7,13,15,
1,2,3,4,6,8,14,34,
1,2,4,5,6,9,18,56,
1,4,5,6,7,8,11,41,
1,2,3,6,8,12,13,14,
1,2,4,5,8,9,12,29,
1,2,3,5,6,9,10,22,
1,2,3,4,5,6,7,20,
1,2,5,6,7,9,13,22,
1,2,4,5,6,9,12,14,
1,2,3,4,5,14,15,26,
1,2,3,5,6,7,9,11,
1,2,3,4,5,6,8,11,
1,2,4,7,8,9,11,15,
1,2,3,4,5,6,8,12,
1,2,3,4,5,8,9,16,
1,2,3,5,6,7,8,11,
1,2,3,5,6,9,11,18,
1,2,3,5,8,11,12,19,
1,2,3,4,7,8,9,12,
1,2,3,5,6,7,8,12,
1,2,3,4,6,7,9,12,
1,2,3,5,10,17,20,34,
1,2,3,5,7,11,12,26,
1,2,3,4,5,6,8,10,
1,2,3,4,5,8,10,14,
1,2,3,4,5,7,12,16,
1,2,3,6,10,16,17,22,
1,2,3,4,5,8,14,20,
1,2,3,4,5,7,9,18,
1,2,3,4,5,7,9,13,
1,2,3,4,6,8,11,26,
1,2,3,5,7,8,12,36,
1,2,3,4,7,8,13,40,
1,2,3,4,7,11,27,28,
1,2,3,4,6,7,10,24,
1,2,4,5,6,7,12,19,
1,2,3,4,5,6,7,11,
1,2,3,4,5,7,10,11,
1,2,3,5,6,13,24,28,
1,2,3,4,6,7,21,46,
1,2,3,4,5,11,17,22,
1,3,5,6,7,16,21,25,
1,4,5,7,8,10,11,21,
1,2,3,4,5,7,13,14,
1,2,5,6,8,9,23,26,
1,2,3,5,6,9,13,15,
1,2,3,4,6,10,11,16,
1,2,3,4,7,8,18,20,
1,2,3,5,7,8,12,16,
1,2,5,9,13,14,15,27,
1,2,4,5,6,12,13,22,
1,2,5,7,9,11,21,23,
1,2,3,4,6,7,8,9,
1,2,3,4,5,8,11,28,
1,2,3,6,8,10,12,19,
1,3,4,6,7,8,14,20,
1,2,3,4,5,11,12,28,
1,2,3,4,6,7,8,13,
1,2,3,5,7,9,15,19,
1,2,3,4,5,8,11,24,
1,2,3,4,5,7,14,18,
1,2,3,4,8,9,10,14,
1,2,3,8,9,10,14,23,
1,2,3,5,10,13,18,20,
1,2,3,4,5,8,10,26,
1,2,3,4,5,6,8,16,
1,2,4,6,8,12,16,20,
1,2,3,4,5,16,24,28,
1,2,3,5,8,16,18,21,
1,2,4,5,6,7,8,15,
1,2,6,8,9,11,16,46,
1,2,3,5,7,8,17,31,
1,2,3,5,9,10,12,26,
1,2,3,4,5,7,10,16,
1,2,4,5,6,12,15,26,
1,3,5,6,7,8,20,25,
1,2,3,4,5,13,24,41,
1,2,3,6,7,11,19,21,
1,3,5,6,8,11,12,17,
1,3,4,9,10,11,12,16,
1,2,4,5,6,7,8,9,
1,2,3,4,6,9,14,18,
1,2,3,4,6,10,13,22,
1,3,4,5,6,12,13,43,
1,6,7,8,13,17,21,58,
1,2,3,4,5,8,14,15,
1,2,6,8,9,10,17,23,
1,2,5,6,8,9,10,11,
1,2,3,6,7,10,13,14,
1,2,3,4,6,7,20,36,
1,2,3,5,7,8,12,24,
1,3,4,11,14,17,18,36,
1,2,3,4,5,6,9,11,
1,2,3,4,5,6,7,29,
1,3,4,6,8,10,13,16,
1,4,5,6,8,9,14,24,
1,4,6,7,10,12,13,22,
1,2,3,4,7,8,12,35,
1,2,4,5,6,7,13,32,
1,2,4,5,10,15,18,39,
1,2,3,5,7,8,15,28,
1,3,4,7,9,11,18,21,
1,2,3,7,8,9,18,33,
1,2,3,4,5,8,11,13,
1,2,4,5,6,9,10,18,
1,2,4,5,6,10,11,12,
1,2,4,6,8,11,16,17,
1,2,4,5,7,10,12,24,
1,2,4,5,8,10,16,36,
1,2,3,4,8,10,11,21,
1,3,4,6,8,12,17,27,
1,2,3,4,5,6,7,10,
1,2,4,5,7,8,11,21,
1,2,5,7,10,12,17,24,
1,2,3,4,5,7,8,10,
1,2,3,4,5,8,10,18,
1,2,4,5,10,11,19,23,
1,3,4,5,8,9,10,15,
1,2,3,4,12,18,20,22,
1,2,3,4,10,11,13,15,
1,2,3,8,9,11,12,21,
1,2,3,4,5,14,19,25,
1,2,5,7,8,10,12,22,
1,2,3,4,5,6,9,11,
1,2,4,5,7,10,18,35,
1,2,3,4,6,9,13,16,
1,2,3,4,6,8,10,17,
1,2,3,4,5,9,12,14,
1,2,3,4,5,6,7,17,
1,2,3,6,7,10,14,19,
1,2,3,4,5,9,14,15,
1,2,3,5,6,8,17,23,
1,2,3,8,9,14,21,26,
1,3,4,10,11,15,28,29,
1,2,3,5,6,10,13,29,
1,2,3,5,7,9,11,14,
1,2,5,7,9,15,25,40,
1,2,3,4,8,10,13,25,
1,4,5,6,7,11,19,33,
1,2,3,6,8,10,13,18,
1,2,4,6,7,10,15,25,
1,2,3,4,5,6,9,11,
1,2,6,7,9,13,18,27,
1,3,5,7,9,11,12,21,
1,2,4,5,6,14,16,24,
1,2,4,7,9,10,14,18,
1,3,4,5,9,14,15,16,
1,2,3,4,6,8,13,23,
1,2,3,4,6,9,10,18,
1,2,4,7,17,18,23,25,
1,2,3,4,16,19,23,38,
1,2,3,4,5,7,9,27,
1,2,3,4,5,7,10,26,
1,2,3,4,6,7,11,16,
1,2,3,4,6,8,18,24,
1,2,4,5,7,11,15,27,
1,2,3,5,6,10,11,22,
1,2,3,5,6,7,12,22,
1,2,3,4,7,8,10,25,
1,3,4,5,6,8,12,18,
1,2,3,6,7,13,14,29,
1,2,4,8,9,12,14,37,
1,2,3,4,7,8,13,20,
1,2,3,5,7,8,11,12,
1,3,5,6,7,8,15,20,
1,2,3,4,6,7,11,14,
1,2,3,4,5,10,18,22,
1,2,3,4,5,8,14,16,
1,2,3,4,8,9,10,21,
1,2,3,5,8,12,13,15,
1,2,3,7,9,10,16,18,
1,2,3,4,8,9,10,15,
1,2,3,9,10,12,13,20,
1,2,3,5,9,11,12,13,
1,2,3,4,7,12,15,34,
1,2,3,6,8,10,12,16,
1,3,5,7,8,10,11,17,
1,2,4,8,13,19,21,26,
1,2,3,4,5,6,8,16,
1,2,3,4,5,8,12,16,
1,2,3,4,7,8,23,36,
1,2,4,5,7,8,10,11,
1,2,3,5,6,7,9,27,
1,2,3,4,5,8,33,56,
1,2,3,4,6,14,15,17,
1,2,5,6,7,8,10,25,
1,2,3,4,5,9,13,22,
1,2,4,5,11,13,15,31,
1,2,3,7,8,9,14,32,
1,2,3,4,6,7,12,18,
1,2,3,4,6,7,9,21,
1,2,3,4,6,7,9,17,
1,2,3,5,6,8,12,22,
1,3,5,6,7,13,17,29,
1,2,3,4,7,10,12,14,
1,2,3,6,7,8,9,30,
1,2,4,5,7,9,12,18,
1,2,3,4,5,6,26,30,
1,2,3,4,5,6,10,16,
1,2,3,5,7,8,11,15,
1,2,3,5,6,8,9,12,
1,2,3,4,5,7,11,35,
1,2,3,4,5,8,9,17,
1,2,3,5,7,8,14,19,
1,2,3,4,5,6,9,18,
1,2,3,6,7,9,18,23,
1,2,3,4,5,10,11,16,
1,3,5,7,8,10,11,12,
1,2,4,5,9,15,17,18,
1,2,3,5,6,19,21,28,
1,2,4,5,6,7,9,24,
1,2,3,4,5,12,19,40,
1,2,3,4,6,8,12,28,
1,2,3,4,6,9,13,29,
1,2,3,5,10,19,30,34,
1,2,3,4,5,10,11,20,
1,4,6,10,12,15,17,24,
1,2,3,6,7,8,9,34,
1,2,3,5,6,7,17,21,
1,2,3,4,5,6,9,13,
1,2,3,4,5,8,9,10,
1,2,3,7,8,10,20,22,
1,3,4,6,7,15,16,23,
1,2,5,6,10,12,15,16,
1,2,3,4,7,10,21,27,
1,2,4,5,7,10,11,14,
1,2,3,8,9,14,16,17,
1,2,3,5,6,7,9,13,
1,2,3,4,6,7,9,11,
1,2,4,5,7,9,22,28,
1,2,3,4,5,11,15,18,
1,3,4,7,8,11,16,23,
1,3,5,7,9,11,18,28,
1,2,3,4,5,7,23,26,
1,3,4,5,6,11,14,22,
1,2,3,4,5,6,8,15,
1,2,4,7,8,9,10,17,
1,2,3,4,6,7,8,14,
1,2,3,5,7,8,9,11,
1,2,3,8,10,12,14,15,
1,2,4,6,8,12,13,14,
1,2,4,6,8,10,15,24,
1,2,3,8,10,20,25,29,
1,2,3,4,9,13,14,16,
1,2,3,5,6,9,10,32,
1,2,4,5,6,10,12,18,
1,2,3,6,7,9,10,12,
1,2,4,6,8,11,15,16,
1,2,3,4,7,8,13,19,
1,2,3,7,8,11,13,20,
1,2,3,5,7,8,9,18,
1,2,5,6,8,9,14,18,
1,2,3,6,7,13,16,18,
1,2,3,4,7,10,11,15,
1,2,3,4,5,7,8,9,
1,2,3,6,10,11,15,21,
1,2,4,6,7,8,27,47,
1,2,6,8,9,14,17,21,
1,2,3,4,5,7,10,13,
1,2,4,7,8,11,21,36,
1,2,4,6,8,10,12,25,
1,2,5,6,9,18,19,32,
1,2,3,5,6,14,21,29,
1,2,3,4,8,9,12,24,
1,2,3,4,6,7,9,10,
1,2,3,4,6,11,12,17,
1,2,3,5,6,16,17,73,
1,2,4,5,7,8,12,23,
1,2,3,4,5,6,8,13,
1,2,4,5,6,7,12,15,
1,2,6,8,10,14,15,24,
1,2,3,8,9,12,13,17,
1,2,4,5,6,12,24,25,
1,2,4,5,7,11,12,21,
1,2,3,4,6,7,13,14,
1,2,3,4,8,10,17,41,
1,2,3,6,7,8,11,14,
1,2,3,5,6,8,9,10,
1,2,3,5,7,16,17,18,
1,2,3,6,9,17,25,29,
1,2,6,8,10,13,22,23,
1,2,3,4,5,8,10,24,
1,2,4,5,6,8,10,16,
1,3,4,5,6,7,10,13,
1,2,3,4,5,15,23,26,
1,3,4,5,7,9,11,24,
1,2,3,4,5,7,11,24,
1,2,3,4,8,9,11,43,
1,2,3,4,6,7,10,18,
1,2,3,5,6,7,16,18,
1,2,4,5,6,7,8,43,
1,2,3,4,5,11,12,40,
1,2,3,4,6,7,8,17,
1,2,3,5,7,14,15,16,
1,2,3,5,6,15,16,17,
1,2,4,5,7,8,11,19,
1,3,4,6,7,13,17,48,
1,2,3,4,5,6,11,12,
1,2,4,5,6,9,12,14,
1,4,5,7,9,12,16,17,
1,2,3,4,5,10,11,14,
1,3,5,8,9,12,19,29,
1,2,8,10,11,12,15,16,
1,2,4,5,7,8,14,23,
1,4,5,6,7,10,17,22,
1,3,4,8,9,10,12,32,
1,2,3,4,5,6,13,16,
1,2,3,4,5,9,12,16,
1,2,3,4,5,6,14,24,
1,2,3,5,6,8,15,31,
1,2,3,4,5,6,11,18,
1,2,3,4,6,9,16,20,
1,2,3,4,5,6,11,13,
1,2,3,4,6,8,11,15,
1,2,3,4,8,9,11,14,
1,3,5,6,14,20,27,53,
1,2,3,6,7,9,12,15,
1,3,5,7,10,12,14,24,
1,2,3,5,6,9,23,26,
1,2,3,5,6,14,15,34,
1,2,4,5,6,7,10,11,
1,2,3,4,5,7,17,24,
1,2,3,4,9,10,17,19,
1,2,4,5,6,8,9,11,
1,2,3,4,5,7,8,26,
1,2,3,5,10,12,22,27,
1,2,3,5,6,12,15,17,
1,2,3,5,6,8,9,20,
1,2,3,5,8,9,14,18,
1,3,4,7,10,15,19,27,
1,2,3,5,7,9,11,14,
1,2,3,5,7,10,15,21,
1,2,3,5,7,10,15,19,
1,2,3,4,5,6,7,9,
1,2,3,6,7,8,14,28,
1,2,3,4,10,11,14,18,
1,2,3,4,6,12,13,17,
1,2,3,5,6,7,8,9,
1,2,4,7,10,13,17,24,
1,2,3,5,8,9,17,32,
1,2,3,4,6,9,15,18,
1,2,4,7,8,11,12,13,
1,2,3,4,6,7,10,23,
1,2,3,7,8,12,13,18,
1,2,4,9,10,13,24,52,
1,2,3,4,10,11,16,21,
1,2,3,4,5,7,8,13,
1,2,4,5,6,10,11,13,
1,2,3,4,7,8,9,14,
1,2,3,5,6,13,14,20,
1,2,3,4,5,7,8,10,
1,2,3,4,5,6,10,13,
1,2,3,4,8,9,13,52,
1,3,4,5,6,7,11,25,
1,2,3,5,7,8,16,18,
1,2,6,9,12,15,19,20,
1,2,3,4,5,12,13,17,
1,2,3,5,6,8,11,30,
1,2,3,9,10,12,13,17,
1,2,3,4,6,7,10,27,
1,2,3,4,5,6,16,20,
1,2,4,5,6,10,12,23,
1,3,4,5,6,9,10,11,
1,2,3,4,5,7,9,39,
1,2,3,4,5,8,16,21,
1,2,3,5,13,18,22,28,
1,2,5,6,11,12,15,18,
1,2,4,5,6,7,9,14,
1,2,3,6,8,9,14,30,
1,2,3,4,9,11,15,23,
1,2,4,6,7,12,16,21,
1,2,3,5,6,9,13,29,
1,2,3,4,5,6,7,14,
1,2,3,7,9,11,18,19,
1,2,3,4,7,9,16,36,
1,2,3,6,7,10,13,28,
1,3,5,6,7,9,21,24,
1,2,4,5,6,7,8,11,
1,2,3,5,6,9,16,17,
1,4,5,6,7,8,13,14,
1,2,3,5,7,9,19,24,
1,3,4,6,8,10,11,62,
1,2,3,5,6,12,15,19,
1,2,4,5,6,7,8,12,
1,2,4,5,8,10,11,30,
1,2,3,4,14,15,19,48,
1,2,3,4,6,9,13,14,
1,3,5,6,7,10,11,12,
1,2,3,4,5,6,8,13,
1,2,5,7,9,11,17,26,
1,2,4,5,7,11,14,17,
1,2,5,6,8,10,15,21,
1,2,4,6,8,9,16,22,
1,3,4,6,9,12,21,28,
1,2,3,4,6,7,8,10,
1,2,3,5,8,11,21,22,
1,2,3,4,5,12,22,27,
1,2,3,4,7,8,27,35,
1,2,3,5,6,8,10,34,
1,2,3,5,9,10,14,38,
1,2,3,4,5,8,9,10,
1,3,5,6,7,8,11,12,
1,2,3,4,5,9,10,37,
1,2,3,4,7,9,12,26,
1,2,3,4,9,13,22,30,
1,3,4,5,9,10,11,12,
1,2,4,5,6,8,19,38,
1,2,3,4,7,14,21,41,
1,2,3,4,8,10,22,23,
1,2,3,4,6,8,9,12,
1,2,3,5,6,8,11,22,
1,2,4,5,6,7,9,24,
1,2,3,4,5,6,8,28,
1,2,4,5,7,12,17,19,
1,3,4,6,7,8,16,21,
1,2,3,4,6,9,10,11,
1,2,3,4,8,9,13,15,
1,2,3,4,5,7,11,13,
1,2,3,4,5,6,8,11,
1,2,3,5,6,7,11,15,
1,3,5,9,12,19,20,32,
1,2,3,5,7,14,16,19,
1,3,4,5,7,11,12,14,
1,2,3,5,6,9,13,19,
1,2,3,5,6,8,13,20,
1,2,3,4,5,13,18,26,
1,2,3,6,7,9,10,12,
1,2,3,8,10,13,14,21,
1,2,3,4,6,7,17,22,
1,2,3,4,5,6,7,8,
1,2,4,5,6,13,14,24,
1,2,5,6,7,11,13,19,
1,3,4,7,9,11,14,17,
1,2,3,8,9,10,12,16,
1,2,4,7,9,10,21,30,
1,2,4,5,7,10,11,13,
1,2,4,5,7,8,10,17,
1,2,6,8,9,10,11,23,
1,2,4,7,10,11,22,23,
1,3,4,7,8,11,19,25,
1,3,4,5,6,11,16,19,
1,3,4,6,7,8,9,25,
1,2,4,6,7,8,13,18,
1,2,3,4,7,12,15,16,
1,2,3,4,6,8,10,11,
1,3,4,5,7,9,14,27,
1,2,4,6,7,8,17,21,
1,3,4,5,11,14,16,20,
1,2,3,6,9,13,20,27,
1,2,3,4,6,7,8,12,
1,2,3,4,6,10,16,20,
1,2,4,5,7,8,16,28,
1,2,4,6,7,8,18,44,
1,3,4,5,6,7,22,23,
1,2,3,4,5,6,7,8,
1,3,4,5,6,8,14,23,
1,2,4,9,10,13,14,20,
1,2,3,5,8,12,22,24,
1,2,3,6,8,10,15,39,
1,2,3,4,6,8,11,13,
1,2,3,5,7,8,11,12,
1,2,3,4,6,12,14,22,
1,2,5,6,11,13,18,24,
1,2,3,4,5,9,17,28,
1,2,4,5,6,8,9,11,
1,2,4,5,7,8,9,14,
1,2,4,6,7,9,13,23,
1,2,3,4,5,7,9,23,
1,2,3,4,6,9,11,15,
1,2,4,6,7,9,17,25,
1,2,3,4,6,14,25,26,
1,2,3,4,7,11,19,20,
1,2,5,7,8,9,13,16,
1,2,3,5,6,11,12,20,
1,2,3,4,5,6,10,29,
1,3,5,6,7,8,9,12,
1,2,4,5,9,10,11,14,
1,2,3,4,7,10,25,29,
1,3,4,5,7,10,12,18,
1,2,6,10,12,14,21,30,
1,2,4,5,6,7,8,10,
1,2,3,5,7,9,18,20,
1,2,4,5,6,7,8,14,
1,2,3,4,11,15,19,23,
1,2,3,4,6,9,10,12,
1,2,4,5,6,8,11,17,
1,2,4,7,8,14,21,23,
1,2,3,4,6,19,20,21,
1,2,3,4,6,7,9,12,
1,2,3,4,5,9,11,36,
1,2,3,4,5,12,13,21,
1,3,4,6,8,13,16,17,
1,2,3,6,7,11,13,31,
1,3,4,6,16,17,18,32,
1,2,3,4,5,6,18,21,
1,2,3,4,10,11,12,13,
1,2,3,5,6,7,10,16,
1,2,3,10,12,15,16,18,
1,2,3,4,9,10,16,25,
1,2,3,5,6,7,16,30,
1,2,3,4,5,6,10,20,
1,3,4,7,8,9,15,16,
1,2,3,4,7,9,10,19,
1,2,4,6,7,11,14,18,
1,2,4,5,6,7,10,12,
1,2,3,5,6,7,9,10,
1,2,4,6,7,8,10,11,
1,2,3,4,6,7,14,24,
1,2,3,5,8,13,14,16,
1,3,4,6,9,10,12,22,
1,2,4,5,8,10,12,31,
1,2,3,4,7,14,16,22,
1,2,3,4,5,6,7,9,
1,2,4,5,6,7,10,17,
1,2,3,5,6,13,22,26,
1,2,4,5,8,11,17,22,
1,2,3,4,5,7,12,18,
1,2,4,5,6,11,19,25,
1,2,3,6,7,11,13,29,
1,2,3,5,9,10,15,21,
1,4,5,6,8,9,11,12,
1,2,3,5,11,12,16,18,
1,2,3,4,5,7,11,12,
1,2,3,4,5,6,8,15,
1,2,3,6,8,12,17,26,
1,2,3,5,7,10,14,16,
1,2,4,5,6,7,8,17,
1,2,3,4,5,7,8,11,
1,2,3,4,5,6,7,8,
1,6,8,9,14,15,17,18,
1,2,3,4,8,11,12,25,
1,2,3,7,10,17,24,27,
1,2,3,4,5,7,10,12,
1,2,3,5,6,7,12,17,
1,2,3,4,13,15,20,25,
1,3,4,5,6,12,25,31,
1,2,3,5,6,7,12,18,
1,2,3,5,6,13,18,21,
1,2,3,5,6,7,10,11,
1,2,3,5,7,8,10,11,
1,2,3,5,8,9,21,26,
1,2,3,4,5,6,7,13,
1,2,3,4,5,8,11,13,
1,2,3,4,6,8,15,23,
1,2,4,6,8,12,14,18,
1,2,3,5,6,10,12,24,
1,2,4,5,7,9,11,27,
1,2,4,5,7,10,11,12,
1,2,4,5,6,14,25,51,
1,2,3,4,10,12,15,32,
1,2,3,7,9,11,14,31,
1,2,4,5,9,12,14,30,
1,2,4,5,7,8,10,15,
1,2,3,5,8,15,17,23,
1,3,4,5,7,10,34,39,
1,2,3,4,5,7,13,19,
1,2,3,4,5,7,15,16,
1,2,3,4,5,6,9,12,
1,2,3,5,6,7,8,13,
1,2,3,7,9,10,20,31,
1,2,3,4,5,7,10,16,
1,2,3,4,8,9,13,20,
1,2,3,4,6,7,9,10,
1,2,5,6,8,11,12,14,
1,2,3,5,7,9,16,18,
1,3,4,5,9,10,15,36,
1,2,3,4,5,6,10,31,
1,2,5,6,7,8,21,44,
1,2,3,4,10,16,24,25,
1,2,3,4,5,7,8,11,
1,2,3,6,7,8,12,23,
1,2,5,9,10,12,17,28,
1,2,4,5,7,8,10,14,
1,2,3,4,5,9,10,19,
1,2,3,6,8,9,14,26,
1,2,3,6,7,8,10,24,
1,2,3,5,6,8,9,12,
1,2,4,6,10,15,22,27,
1,2,4,5,8,13,14,21,
1,2,3,4,8,9,18,31,
1,2,3,5,6,7,13,21,
1,2,3,4,6,7,11,12,
1,2,5,6,7,9,10,14,
1,2,4,6,8,18,26,36,
1,2,3,5,6,9,10,18,
1,2,3,4,5,6,15,17,
1,2,7,8,11,12,17,20,
1,2,5,6,7,10,15,17,
1,2,3,7,8,9,10,19,
1,2,3,4,5,9,11,12,
1,2,3,5,6,7,10,15,
1,3,4,5,6,8,21,22,
1,2,3,6,12,16,17,20,
1,2,3,4,6,7,11,16,
1,2,5,7,10,17,28,30,
1,2,3,6,7,10,12,16,
1,2,3,4,5,6,9,10,
1,2,3,4,5,7,13,20,
1,2,4,6,7,9,10,19,
1,3,4,5,6,7,8,17,
1,2,3,6,8,9,12,26,
1,2,3,4,7,11,12,35,
1,2,3,4,5,6,10,19,
1,2,5,6,7,8,13,20,
1,2,4,5,6,7,8,22,
1,2,3,4,5,7,12,14,
1,2,3,4,5,6,7,10,
