,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
0,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.101.145.199.58.pcap,201,47,0,0,0,0,0,0,0
1,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.101.146.14.113.pcap,980,0,0,0,0,0,0,0,0
2,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.1.123.22.pcap,11413,0,0,0,0,0,0,0,0
3,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.13.52.245.pcap,503,16,0,0,0,0,0,0,0
4,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.16.5.26.pcap,505,16,0,0,0,0,0,0,0
5,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.195.172.208.pcap,1655,0,0,0,0,0,0,0,0
6,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.208.81.218.pcap,782,0,0,0,0,0,0,0,0
7,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.209.249.222.pcap,1910,0,0,0,0,0,0,0,0
9,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.213.114.148.pcap,577,0,0,0,0,0,0,0,0
10,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.217.132.203.pcap,812,0,0,0,0,0,0,0,0
14,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.37.144.28.pcap,960,0,0,0,0,0,0,0,0
15,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.37.146.199.pcap,1017,0,0,0,0,0,0,0,0
17,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.42.18.180.pcap,958,0,0,0,0,0,0,0,0
18,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.43.129.40.pcap,507,16,0,0,0,0,0,0,0
