,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
5,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.195.172.208.pcap,1655,0,0,0,0,0,0,0,0
7,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.103.209.249.222.pcap,1910,0,0,0,0,0,0,0,0
20,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.132.164.230.pcap,12162,0,0,0,0,0,0,0,0
22,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.104.212.115.100.pcap,1473,0,0,0,0,0,0,0,0
25,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.106.187.232.12.pcap,6999,0,0,0,0,0,0,0,0
44,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.183.252.pcap,102,16,0,0,0,0,0,0,0
49,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.107.164.184.230.pcap,101,16,0,0,0,0,0,0,0
65,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.110.81.178.30.pcap,509,16,0,0,0,0,0,0,0
66,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.111.117.116.211.pcap,5683,0,0,0,0,0,0,0,0
67,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.112.149.228.58.pcap,355,136,0,0,0,0,0,0,0
69,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.112.32.180.151.pcap,490,71,0,0,0,0,0,0,0
73,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.113.89.188.101.pcap,3149,0,0,0,0,0,0,0,0
74,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.64.144.199.pcap,1066,235,0,0,0,0,0,0,0
75,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.73.175.88.pcap,2485,239,0,0,0,0,0,0,0
76,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.114.81.124.50.pcap,2268,180,0,0,0,0,0,0,0
77,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.115.28.234.244.pcap,895,8,0,0,0,0,0,0,0
78,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.116.1.211.16.pcap,445,183,0,0,0,0,0,0,0
79,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.116.207.10.185.pcap,411,169,0,0,0,0,0,0,0
80,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.117.117.62.214.pcap,786,165,0,0,0,0,0,0,0
87,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.118.23.25.70.pcap,8291,0,0,0,0,0,0,0,0
89,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.118.242.132.242.pcap,800,0,0,0,0,0,0,0,0
91,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.118.77.25.110.pcap,882,0,0,0,0,0,0,0,0
93,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.119.151.77.229.pcap,4928,0,0,0,0,0,0,0,0
96,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.119.35.107.5.pcap,570,71,0,0,0,0,0,0,0
97,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.119.35.121.124.pcap,274,73,0,0,0,0,0,0,0
99,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.120.128.130.185.pcap,1426,0,0,0,0,0,0,0,0
102,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.120.180.155.148.pcap,6530,0,0,0,0,0,0,0,0
107,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.224.209.pcap,2184,0,0,0,0,0,0,0,0
108,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.238.37.pcap,13505,0,0,0,0,0,0,0,0
109,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.238.42.pcap,2181,0,0,0,0,0,0,0,0
110,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.238.51.pcap,1866,0,0,0,0,0,0,0,0
111,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.239.50.pcap,13946,0,0,0,0,0,0,0,0
112,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.196.239.81.pcap,10018,0,0,0,0,0,0,0,0
113,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.40.24.221.pcap,923,2,0,0,0,0,0,0,0
114,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.41.117.18.pcap,225,66,0,0,0,0,0,0,0
115,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.42.84.216.pcap,394,62,0,0,0,0,0,0,0
116,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.43.232.45.pcap,257,77,0,0,0,0,0,0,0
117,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.45.84.80.pcap,222,54,0,0,0,0,0,0,0
118,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.121.9.64.75.pcap,2072,1,1,0,0,0,0,0,0
119,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.122.112.75.56.pcap,1991,0,0,0,0,0,0,0,0
121,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.122.232.19.92.pcap,20141,26,0,0,0,0,0,0,0
136,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.125.11.26.41.pcap,2248,0,0,0,0,0,0,0,0
140,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.125.84.129.23.pcap,4437,0,0,0,0,0,0,0,0
154,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.128.165.206.15.pcap,492,16,0,0,0,0,0,0,0
155,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.128.186.175.1.pcap,505,16,0,0,0,0,0,0,0
175,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.130.207.247.27.pcap,2148,48,0,0,0,0,0,0,0
184,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.131.143.154.214.pcap,41408,3,0,0,0,0,0,0,0
185,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.131.143.154.233.pcap,15132,1,0,0,0,0,0,0,0
189,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.131.143.154.63.pcap,320732,12,0,0,0,0,0,0,0
202,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.133.13.46.95.pcap,2143,48,0,0,0,0,0,0,0
203,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.133.149.242.249.pcap,105400,6,0,0,0,0,0,0,0
206,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.133.150.44.97.pcap,5195,0,0,0,0,0,0,0,0
207,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.133.156.86.19.pcap,1588,0,0,0,0,0,0,0,0
210,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.133.17.44.109.pcap,2150,48,0,0,0,0,0,0,0
227,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.134.160.241.20.pcap,1796,0,0,0,0,0,0,0,0
228,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.134.214.180.160.pcap,15,14,5,0,0,0,0,0,0
232,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.136.186.210.97.pcap,2153,48,0,0,0,0,0,0,0
234,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.138.4.81.97.pcap,3,22,0,0,0,0,0,0,0
