,file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
883,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.165.pcap,43173,0,0,0,0,0,0,0,0
884,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.166.pcap,43091,0,0,0,0,0,0,0,0
885,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.167.pcap,43478,0,0,0,0,0,0,0,0
886,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.168.pcap,99477,1,0,0,0,0,0,0,0
887,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.169.pcap,99699,0,0,0,0,0,0,0,0
888,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.170.pcap,43296,0,0,0,0,0,0,0,0
889,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.171.pcap,43613,0,0,0,0,0,0,0,0
890,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.172.pcap,99712,0,0,0,0,0,0,0,0
891,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.173.pcap,99290,0,0,0,0,0,0,0,0
892,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.174.pcap,99443,0,0,0,0,0,0,0,0
893,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.62.175.pcap,99700,0,0,0,0,0,0,0,0
894,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.128.pcap,193311,0,0,0,0,0,0,0,0
895,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.129.pcap,193453,0,0,0,0,0,0,0,0
896,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.130.pcap,193480,1,0,0,0,0,0,0,0
897,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.131.pcap,193509,0,0,0,0,0,0,0,0
898,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.160.pcap,33345,0,0,0,0,0,0,0,0
899,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.161.pcap,33332,0,0,0,0,0,0,0,0
900,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.162.pcap,33355,0,0,0,0,0,0,0,0
901,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.163.pcap,33193,0,0,0,0,0,0,0,0
902,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.164.pcap,33514,0,0,0,0,0,0,0,0
903,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.165.pcap,33328,0,0,0,0,0,0,0,0
904,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.166.pcap,33355,0,0,0,0,0,0,0,0
905,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.167.pcap,33162,0,0,0,0,0,0,0,0
906,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.168.pcap,194739,0,0,0,0,0,0,0,0
907,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.169.pcap,193795,1,0,0,0,0,0,0,0
908,201904090000.pcap.CONN.pcap.Mixed_rseed-2222.pcap.163.33.63.170.pcap,33436,0,0,0,0,0,0,0,0
