file,1<=Pck.<,10<=Pck.<,100<=Pck.<,1000<=Pck.<,10000<=Pck.<,100000<=Pck.<,10^6<=Pck.<,10^7<=Pck.<,10^8<=Pck.
202006031400.pcap.Mixed_rseed-2222.pcap.131.12.60.125.pcap,1,118,10,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.131.12.84.114.pcap,0,63,18,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.133.228.16.109.pcap,4,120,34,5,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.133.228.23.49.pcap,8,100,8,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.133.228.248.44.pcap,125,1426,252,29,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.133.228.3.44.pcap,10,178,5,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.133.228.36.104.pcap,952,4362,572,7,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.134.46.160.186.pcap,159,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.134.46.62.114.pcap,215,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.139.62.236.13.pcap,123,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.139.62.239.134.pcap,131,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.139.62.246.17.pcap,161,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.142.130.61.19.pcap,102,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.235.236.pcap,121,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.235.80.pcap,120,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.237.190.pcap,133,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.218.237.39.pcap,112,0,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.102.187.pcap,18,176,27,5,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.115.158.pcap,3,256,15,2,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.120.57.pcap,52,427,121,18,1,1,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.124.90.pcap,771,137,12,4,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.137.57.pcap,7,101,4,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.137.74.pcap,87,687,43,2,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.138.109.pcap,11,165,19,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.144.33.pcap,2,224,59,6,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.16.224.pcap,11,441,64,12,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.133.pcap,13,384,15,9,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.224.pcap,10,94,8,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.254.pcap,16,901,24,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.38.pcap,7,86,23,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.47.pcap,38,191,31,4,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.160.60.pcap,14,563,23,2,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.162.128.pcap,9,205,18,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.162.176.pcap,5,226,25,8,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.163.168.pcap,34,223,37,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.163.19.pcap,13,168,37,2,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.163.30.pcap,40,818,152,20,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.163.33.pcap,10,237,23,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.166.90.pcap,141,355,0,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.167.179.pcap,87,902,64,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.170.162.pcap,10,409,89,14,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.172.97.pcap,24,339,40,1,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.184.86.pcap,30,294,26,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.19.27.pcap,17,270,20,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.2.196.pcap,308,599,49,7,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.205.139.pcap,170,509,2,2,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.205.182.pcap,27,167,21,4,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.224.182.pcap,1,121,27,8,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.224.21.pcap,6,246,53,16,2,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.224.253.pcap,3,168,23,2,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.226.0.pcap,12,780,39,1,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.226.225.pcap,9,191,31,2,2,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.26.144.pcap,3,484,59,3,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.26.249.pcap,6,206,34,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.27.144.pcap,10,203,46,4,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.27.147.pcap,6,171,17,1,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.27.180.pcap,7,256,32,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.45.158.pcap,22,181,66,15,1,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.45.20.pcap,11,122,4,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.45.23.pcap,16,152,25,0,0,1,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.85.23.pcap,1,119,19,0,0,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.0.pcap,0,542,71,14,4,0,0,0,0,
202006031400.pcap.Mixed_rseed-2222.pcap.150.242.96.1.pcap,16,193,42,4,1,0,0,0,0,
